seqid	type	start	end	strand	id	name	product	ec_number	kegg	dbxref
NA	CDS	79909	80697	+	MGYG000001465_01959	modE	Transcriptional regulator ModE	NA	ko:K02019	NA
NA	CDS	230301	231026	+	MGYG000001307_00202	NA	hypothetical protein	NA	-	NA
NA	CDS	134122	134436	-	MGYG000003484_01522	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	2578707	2579501	+	MGYG000002545_02431	opuBA	Choline transport ATP-binding protein OpuBA	NA	ko:K05833	NA
NA	CDS	5747	6556	-	MGYG000002131_01251	NA	hypothetical protein	NA	-	NA
NA	CDS	193143	194468	-	MGYG000000126_02355	dnaC	Replicative DNA helicase	NA	ko:K02314	NA
NA	CDS	68081	68953	-	MGYG000004161_00057	pstB3_1	Phosphate import ATP-binding protein PstB 3	NA	-	NA
NA	CDS	32518	33924	+	MGYG000002304_03216	pdtaS	putative sensor histidine kinase pdtaS	NA	ko:K00936	NA
NA	CDS	674084	675904	-	MGYG000001301_00656	dnaK	Chaperone protein DnaK	NA	ko:K04043	NA
NA	CDS	318	1175	-	MGYG000003431_00768	NA	hypothetical protein	NA	-	NA
NA	CDS	708	1142	+	MGYG000004363_00505	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	73308	74630	-	MGYG000000126_01808	ywdJ	Putative purine permease YwdJ	NA	-	NA
NA	CDS	5887	6195	+	MGYG000000608_00668	ygiN	putative quinol monooxygenase YgiN	NA	-	NA
NA	CDS	9656	9793	-	MGYG000004068_01490	NA	hypothetical protein	NA	-	NA
NA	CDS	8289	9374	-	MGYG000004785_00592	asd2	Aspartate-semialdehyde dehydrogenase 2	NA	ko:K00133	NA
NA	CDS	14056	14967	+	MGYG000000998_00072	fbaA	putative fructose-bisphosphate aldolase	NA	ko:K01624	NA
NA	CDS	2814	4214	-	MGYG000001996_01371	treP	PTS system trehalose-specific EIIBC component	NA	c(""""ko:K02808"""", """"ko:K02809"""", """"ko:K02810"""")	NA
NA	CDS	1919	4192	+	MGYG000002257_01257	NA	hypothetical protein	NA	-	NA
NA	CDS	69959	70393	-	MGYG000004287_00918	hit	Protein hit	NA	ko:K02503	NA
NA	CDS	32059	32376	-	MGYG000002780_00572	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	285618	286673	+	MGYG000002561_00195	NA	hypothetical protein	NA	-	NA
NA	CDS	4138	5862	-	MGYG000001149_00549	NA	hypothetical protein	NA	-	NA
NA	CDS	446307	447716	+	MGYG000001702_02705	purF	Amidophosphoribosyltransferase	NA	ko:K00764	NA
NA	CDS	8678	10120	-	MGYG000000333_01006	NA	hypothetical protein	NA	-	NA
NA	CDS	11157	12410	+	MGYG000002675_00339	ydcP_1	putative protease YdcP	NA	ko:K08303	NA
NA	CDS	72218	73516	-	MGYG000002470_03072	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	NA	ko:K01929	NA
NA	CDS	19067	20797	-	MGYG000001192_00551	NA	hypothetical protein	NA	-	NA
NA	CDS	219705	220289	+	MGYG000003488_00989	NA	hypothetical protein	NA	-	NA
NA	CDS	54469	55629	+	MGYG000000067_02360	wbpI_2	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase	NA	ko:K01791	NA
NA	CDS	5025	5873	-	MGYG000001996_01286	NA	hypothetical protein	NA	-	NA
NA	CDS	94985	95557	-	MGYG000003800_01073	ogt	Methylated-DNA--protein-cysteine methyltransferase	NA	ko:K00567	NA
NA	CDS	33486	33764	+	MGYG000004723_00447	hupA	DNA-binding protein HU 1	NA	ko:K03530	NA
NA	CDS	3641	5002	+	MGYG000000576_00834	dnaA	Chromosomal replication initiator protein DnaA	NA	ko:K02313	NA
